Content,Stars,titre,origine,jour,mois,année,Pays
This game was fun but it was too short the expansion pass is coming at June it's too long for the expansion pass but the game was too short,5,POKEMON,AMAZON,30,4,2020,Royaume-Uni
No complaints. Game works perfectly.,5,POKEMON,AMAZON,27,10,2020,Pays-Bas
"Great game, they keep adding little free updates and DLC coming soon for when you get bored whereas previous games just released another full game to buy like platinum or emerald",5,POKEMON,AMAZON,4,3,2020,Royaume-Uni
Good game sunk about 10 hours in so far and can't fault it.,5,POKEMON,AMAZON,7,1,2021,Royaume-Uni
"Love this game! Great for adults and kids,  so much fun",5,POKEMON,AMAZON,18,1,2021,Royaume-Uni
Bought as a gift will update review once they've received it and had a chance to play. They wanted this as soon as they heard it was being released.,5,POKEMON,AMAZON,22,5,2020,Royaume-Uni
Was a birthday gift. Thought it was going to be a novelty gift. Turns out he hasn’t put it down for weeks.,5,POKEMON,AMAZON,18,7,2020,Royaume-Uni
It only took me around 20 hours to finish the whole game.,4,POKEMON,AMAZON,1,1,2020,Royaume-Uni
The game is really good. The sad thing though is Gigantimax Meowth is already expired.,5,POKEMON,AMAZON,4,6,2020,États-Unis
"The shipping was quick arrived a couple days early. Amazing game, mad me feel like I was back in my childhood",5,POKEMON,AMAZON,14,7,2020,Royaume-Uni
Was a present therefore I cannot really give a accurate review.,4,POKEMON,AMAZON,30,12,2019,Royaume-Uni
"Great game, on the expensive side tho.",4,POKEMON,AMAZON,5,2,2020,États-Unis
Superb game. It is what Pokémon should look like in 3D.Lots of Pokémon and a great expansion!,5,POKEMON,AMAZON,25,9,2020,Royaume-Uni
"Really surprised by the new Pokemon game . As a fan of pokemon I used to play the Lets go pikachu on switch, which I liked, but Pokemon sword has really exceeded any expectations.",5,POKEMON,AMAZON,27,11,2019,Royaume-Uni
"As a big fan of Pokémon, I love this newest game. The graphics are lovely and I like how the wild parts are so open.",5,POKEMON,AMAZON,29,4,2020,Royaume-Uni
Game worked well for my son. He’s happy to have the new game and I was glad to save$5.,5,POKEMON,AMAZON,7,3,2020,États-Unis
This game is really good but I haven’t still beat the game,5,POKEMON,AMAZON,18,6,2020,États-Unis
"game was definitely not new as advertised , the shrink wrap was stuck to the back where the new glue had been put damagin the game case itself and the gigantamax meowth card was not inside the case , just the game by itself . not sure if it comes with a manual but if it does i didnt get that either",2,POKEMON,AMAZON,18,8,2021,Royaume-Uni
Definitely a must have son loves it great present,5,POKEMON,AMAZON,28,12,2020,Royaume-Uni
"It’s the Pokemon game you have always wanted. Short of capturing real animals and forcing them to live inside inadequately small spaces and fight for you, it’s perfect.",5,POKEMON,AMAZON,17,2,2020,Royaume-Uni
Better then previous versions though fairly short.,4,POKEMON,AMAZON,19,1,2020,États-Unis
My son liked this game,5,POKEMON,AMAZON,20,3,2021,Royaume-Uni
Nicely packed and delivered to me. It feels so great to bring back old memories. i played it with my brother to whom i gifted this.,5,POKEMON,AMAZON,5,8,2020,Inde
Product as described,5,POKEMON,AMAZON,3,5,2021,Royaume-Uni
"I have not played pokemon since I was a teenager and I thought I would rekindle my youth, but wow. Absolutely fantastic game! Pokemon has really raised the bar!",5,POKEMON,AMAZON,7,1,2020,Royaume-Uni
It's Pokémon what else to say really. They've added new ones but disappointed you don't get all of the old Pokémon. The game is basically the same year on year it's only because my son asked for it I bought it.,3,POKEMON,AMAZON,15,2,2020,Royaume-Uni
Its ok but interest was lost pretty quickly,4,POKEMON,AMAZON,9,1,2020,Royaume-Uni
Mein Kind ist begeistert.,5,POKEMON,AMAZON,24,10,2020,Allemagne
Got as a birthday present for my brother.  He really likes the game and is enjoying the game play.,5,POKEMON,AMAZON,29,5,2020,Royaume-Uni
"Great game, perfect for any pokemon fan! Very stunning looking game, amazing story line, some of the new pokemon are a little weird but still some classics in the game",5,POKEMON,AMAZON,20,11,2019,Royaume-Uni
This was a gift for my son. He loves it! Great game for a pokemon fan!,5,POKEMON,AMAZON,8,2,2020,États-Unis
Bought for my 11 year old son and he loves it.,5,POKEMON,AMAZON,9,10,2020,Royaume-Uni
my granddaughter was very pleased with the game,5,POKEMON,AMAZON,2,12,2020,Royaume-Uni
Mine came only two days later and was in amazing condition and the best part is that it is new!!,5,POKEMON,AMAZON,30,4,2020,Royaume-Uni
Never off it,5,POKEMON,AMAZON,31,3,2021,Royaume-Uni
So far so brilliant ! 6 hours in really enjoying the game! Will hopefully have plenty more hours of fun.,5,POKEMON,AMAZON,29,4,2020,Royaume-Uni
This game is very good and it came in perfect conditions i think it’s perfect for a child that love Pokemon games,5,POKEMON,AMAZON,23,3,2020,Royaume-Uni
Love this new Pokemon game 💜😁❤️,5,POKEMON,AMAZON,18,8,2020,États-Unis
My 11 year old daughter loves this game as she loves pokemonFast delivery and one very happy girl,5,POKEMON,AMAZON,12,5,2020,Royaume-Uni
"This game may have got a lot of hate pre-release, but this is honestly the most fun I've had on a Pokemon game in a very long time!",5,POKEMON,AMAZON,5,12,2019,Royaume-Uni
My son's loves playing this game.Glad it came so fast!,5,POKEMON,AMAZON,14,3,2020,États-Unis
Excellent service.,5,POKEMON,AMAZON,21,11,2020,États-Unis
I finished it on three to four days but after you finish it there is so much things to do I recommend this game,5,POKEMON,AMAZON,2,2,2020,Royaume-Uni
He loved it,5,POKEMON,AMAZON,24,10,2020,États-Unis
Product as described. Great gift for my son.,5,POKEMON,AMAZON,12,11,2020,Royaume-Uni
Great game. Thank you,5,POKEMON,AMAZON,18,2,2021,Royaume-Uni
My grandson loved this Good buy,5,POKEMON,AMAZON,29,12,2020,Royaume-Uni
Absolutely beautiful to look at while playing! The game play is your usual pokemon game but with lots extra. Smaller pokedex doesn’t effect how great the game is,5,POKEMON,AMAZON,16,11,2019,Royaume-Uni
My nephew loved it,5,POKEMON,AMAZON,15,2,2021,Royaume-Uni
"This game is awesome, reminded me of when I was young and played pokemon for the first time.Highly recommend if you are a pokemon fan",5,POKEMON,AMAZON,2,12,2019,Royaume-Uni
Llego bien y en tiempo,5,POKEMON,AMAZON,22,8,2021,Mexique
I hope this is perfect for a Christmas gift,5,POKEMON,AMAZON,10,10,2020,Royaume-Uni
"This was bought as a gift for my brother. He loves it and I haven't heard any complaints, so it's all good!",5,POKEMON,AMAZON,22,2,2020,Royaume-Uni
😉👌,4,POKEMON,AMAZON,23,2,2020,Royaume-Uni
This is the new chapter in Pokemon games. This title explore's Galar region in Pokemon world. According to me this game has solved all the nuances that were there in old generation games and made it better.,5,POKEMON,AMAZON,2,3,2020,Inde
My child absolutely loved this 🎮,5,POKEMON,AMAZON,26,7,2020,États-Unis
"If you're a Pokémon fan this game is a must buy, it's absolutely brilliant and the changes they've made work really well...I can't stop playing it! 👌",5,POKEMON,AMAZON,22,11,2019,Royaume-Uni
"Came quick, as expected",5,POKEMON,AMAZON,7,2,2021,Royaume-Uni
My son loves it,5,POKEMON,AMAZON,10,9,2020,États-Unis
Gift,5,POKEMON,AMAZON,4,12,2020,États-Unis
"As a long time pokemon fan, I thought this game was quite enjoyable. Would definitely recommend to other fans of the franchise",5,POKEMON,AMAZON,11,2,2020,Royaume-Uni
Fantastic my son loves this game so much that he wont put it down for a minute .Hours and hours of entertainment,5,POKEMON,AMAZON,4,2,2020,Royaume-Uni
Excellent service and great product,5,POKEMON,AMAZON,1,1,2021,Royaume-Uni
Ideal for all the budding Pokemon catchers,5,POKEMON,AMAZON,10,11,2020,Royaume-Uni
I cant comment on the gameplay but the product itself came quickly and was just as described.,5,POKEMON,AMAZON,16,5,2020,Royaume-Uni
This was for my grandson's birthday.,5,POKEMON,AMAZON,2,12,2020,Royaume-Uni
"Bought as a gift for my granddaughter, she has only just started playing but so far she is enjoying it.",5,POKEMON,AMAZON,22,2,2020,Royaume-Uni
One of the best Pokemon games for switch,5,POKEMON,AMAZON,16,12,2020,Inde
I was not disappointed in the slightest. Wished the main game was longer but was just the right mix of traditional and new stuff. Love!,5,POKEMON,AMAZON,24,11,2019,Royaume-Uni
Very happy with the purchase. Arrived only a day later due than expected.Highly reccomened :),5,POKEMON,AMAZON,23,5,2020,Royaume-Uni
Grandson gift,4,POKEMON,AMAZON,2,1,2020,Royaume-Uni
Better than i expected. Has lots of improvements and quality of life adjustments. Pokefan must have.Thank you for coming to my spoiler free ted talk.,5,POKEMON,AMAZON,19,11,2019,Royaume-Uni
Ever since Christmas Eve been enjoying every minute of it playing his game,5,POKEMON,AMAZON,19,1,2020,États-Unis
"My little boy loves this game, delivered on time",5,POKEMON,AMAZON,31,8,2020,Royaume-Uni
"Absolutely amazing. If you loved pokemon on the game it colour, then you’ll love this. It brought back lovely memories",5,POKEMON,AMAZON,31,1,2020,Royaume-Uni
Got this for my step son he loves pokemon stuff would recommend,5,POKEMON,AMAZON,26,6,2020,Royaume-Uni
People like to criticise this game but i thoroughly enjoyed it. Would highly recommend it,5,POKEMON,AMAZON,9,5,2020,Royaume-Uni
Son loves it,4,POKEMON,AMAZON,22,11,2019,Royaume-Uni
"Great game, my 11 year old loves it and got the book to go with it all to help and guide.",5,POKEMON,AMAZON,30,12,2019,Royaume-Uni
It arrived on time. I’m very happy with this purchase!,5,POKEMON,AMAZON,15,2,2020,États-Unis
Came in perfect condition thank you!,5,POKEMON,AMAZON,23,5,2020,États-Unis
Despite all the controversy online this game is incredible and so gripping I completed in in under a week.,5,POKEMON,AMAZON,20,1,2020,Royaume-Uni
Noy much to the game so far after all the hype.  Have luigi mansion 3 and the two don't compare.  Hopefully we will discover a lot more to the game?,3,POKEMON,AMAZON,4,1,2020,Royaume-Uni
Fun and pretty,5,POKEMON,AMAZON,31,12,2020,Royaume-Uni
good game,4,POKEMON,AMAZON,18,11,2019,Royaume-Uni
Great game,5,POKEMON,AMAZON,15,8,2020,États-Unis
Game is awesome. Took a while to get here due to a mix up but its here and awesome none the less,5,POKEMON,AMAZON,20,11,2019,Royaume-Uni
It's the real game and was new in package. No complaints here,5,POKEMON,AMAZON,31,12,2019,États-Unis
Bought as a gift and recipient was very happy,5,POKEMON,AMAZON,30,7,2020,Royaume-Uni
"Bought as a present , great game and price",5,POKEMON,AMAZON,21,7,2020,Royaume-Uni
Bought for Christmas oresent,5,POKEMON,AMAZON,23,11,2020,Royaume-Uni
"Great game, arrived quickly.Son loves it",5,POKEMON,AMAZON,9,9,2020,Royaume-Uni
Great product!,5,POKEMON,AMAZON,9,1,2021,Royaume-Uni
Loved the game but trading is a virtual impossibility unless you know people playing the game. This is such a huge negative for me. I have enjoyed everything else about the game.,3,POKEMON,AMAZON,16,11,2019,Royaume-Uni
Honestly after playing all the games so far this isn't enough of a change. Better graphics but simple style. Pokemon kids have grown up give us a grown up game.,3,POKEMON,AMAZON,30,12,2019,Royaume-Uni
Great game,5,POKEMON,AMAZON,5,1,2021,Royaume-Uni
I love Pokemon and this is great and the delivery was perfect,5,POKEMON,AMAZON,2,5,2020,Royaume-Uni
This is a great Pokémon game. Go out and get it.,5,POKEMON,AMAZON,27,12,2019,États-Unis
Birthday gift for my sons 29th Birthday. He was happy with it.,5,POKEMON,AMAZON,30,4,2020,Royaume-Uni
"The kids love this game, bought for Christmas and they still playing it",5,POKEMON,AMAZON,17,4,2020,Royaume-Uni
My son says it's the best Pokemon game he has!,5,POKEMON,AMAZON,13,1,2020,États-Unis
"Ordered around 5 pm as a gift for grandson, arrived around 9 am next day. Very happy grandson!",5,POKEMON,AMAZON,5,1,2020,Royaume-Uni
My son loves it!,5,POKEMON,AMAZON,9,6,2020,États-Unis
Excellent,5,POKEMON,AMAZON,7,1,2021,Royaume-Uni
"Excellent game, very well made!If you’re a Pokemon fan though you may be disappointed with the postgame content!",5,POKEMON,AMAZON,8,12,2019,Royaume-Uni
"If ya don't know then for the love of God hear me out... YOU CANNOT CATCH EM ALL IN THIS GAME! I know now it was a huge thing beforehand but I don't follow that stuff, idk, now it just seems completely pointless to even try to play it. Never again. By the way I know I bought 2nd hand but I didn't even get a dang case. What the heck happened to the case?!?!?! Who keeps JUST the case?!?! Really?!?! Ugh, If anyone is interested in buying a copy of pokemon sword PM me. Lowest I'll go is 40.",1,POKEMON,AMAZON,2,3,2021,États-Unis
Good game,5,POKEMON,AMAZON,7,12,2020,Royaume-Uni
Good game,5,POKEMON,AMAZON,6,12,2020,Royaume-Uni
"Probably the worst mainline pokemon i've ever played.Completely wastes any potential with bad pop in, graphics and animations (which are laughable), not to mention the missing pokemon and moves.If you like pokemon games, you'll probably have some fun with it. If you're new, save your money and just wait a year and get the better version thats obviously on the way.",2,POKEMON,AMAZON,15,11,2019,Royaume-Uni
Grandson Loved it,5,POKEMON,AMAZON,10,11,2020,Royaume-Uni
Brought this for my son and he loves it,5,POKEMON,AMAZON,12,6,2020,Royaume-Uni
EXCELLENT. So good I said it twice. Graphics much superior to previous games. Similar gameplay with many new features.,5,POKEMON,AMAZON,23,11,2019,Royaume-Uni
Great product,5,POKEMON,AMAZON,28,11,2020,Royaume-Uni
Come da descrizione,5,POKEMON,AMAZON,17,10,2020,Italie
Great game,5,POKEMON,AMAZON,26,11,2020,Royaume-Uni
"Grandsons birthday present, he’s very happy",5,POKEMON,AMAZON,17,8,2020,Royaume-Uni
"Great game, arrived 3 days early. Highly recommend",5,POKEMON,AMAZON,24,6,2020,Royaume-Uni
Sehr gut,5,POKEMON,AMAZON,6,7,2020,Allemagne
Excellent game but the previous versions were far more challenging,5,POKEMON,AMAZON,4,5,2020,Royaume-Uni
Really good switch title. 5 hours in and it hasn’t lived up to all the bad reviews on meta,5,POKEMON,AMAZON,16,11,2019,Royaume-Uni
Bought as a gift for my boyfriend on Christmas morning. A very happy and quiet boyfriend.,5,POKEMON,AMAZON,29,12,2019,Royaume-Uni
Bought it as an Easter presentThe boy loves it :D,5,POKEMON,AMAZON,7,4,2020,Royaume-Uni
Awesome. But I wish Zmoves were in as it's a follow on from alola,5,POKEMON,AMAZON,30,1,2020,Royaume-Uni
"Pretty fun story, post game over in an hour, battle tree is there but hard to enjoy that when half of the best Pokémon for it are missing",3,POKEMON,AMAZON,21,11,2019,Royaume-Uni
Works ok.,3,POKEMON,AMAZON,4,1,2021,Royaume-Uni
"Delivery was so quick, my son was really impressed",5,POKEMON,AMAZON,23,5,2020,Royaume-Uni
Haven’t played a Pokémon game since the original ds came out. Good game to play to pass the time.,5,POKEMON,AMAZON,17,11,2019,Royaume-Uni
Nintendo have brought the Pokemon magic to the Switch and I couldn't be happier with the result!,5,POKEMON,AMAZON,28,11,2019,Royaume-Uni
"A good game. the only problem is if you want to collect all the pokemon, you need to buy shield as well.",3,POKEMON,AMAZON,20,2,2020,Royaume-Uni
Great gift for grandson.  Kept him entertained.,5,POKEMON,AMAZON,12,6,2020,Royaume-Uni
"Fast delivery, grandson loves game.",5,POKEMON,AMAZON,24,8,2020,Royaume-Uni
Just perfect,5,POKEMON,AMAZON,5,11,2020,Royaume-Uni
arrived in good condition. nothing broken. thanks!,5,POKEMON,AMAZON,1,1,2020,États-Unis
Christmas gift for my 12 year old grandson who really enjoys playing this game.,5,POKEMON,AMAZON,14,1,2020,Royaume-Uni
came fast and well packaged love the fame itself,5,POKEMON,AMAZON,12,5,2020,Royaume-Uni
I got this for my grandson at xmas and he loved it.,5,POKEMON,AMAZON,26,2,2020,Royaume-Uni
The product was a great buy.,5,POKEMON,AMAZON,2,3,2020,États-Unis
Super dopee!,5,POKEMON,AMAZON,22,6,2020,États-Unis
Bought for my granddaughter she loves it fast service as well no complaints,5,POKEMON,AMAZON,25,1,2020,Royaume-Uni
Brought as a present he loved it,5,POKEMON,AMAZON,7,6,2020,Royaume-Uni
Very happy right now. Living my Pokèmon dreams.,5,POKEMON,AMAZON,2,5,2020,Royaume-Uni
Son loves it played non stop,5,POKEMON,AMAZON,27,1,2020,États-Unis
11 yrs old loves it.,5,POKEMON,AMAZON,6,3,2020,États-Unis
Son loves it fast delivery item as described,5,POKEMON,AMAZON,8,5,2020,Royaume-Uni
Came on time and in perfect condition. My son loves this game.,5,POKEMON,AMAZON,23,1,2020,Royaume-Uni
Fantastic new vision for the pokemon franchise. Such a welcome arrival for my switch.,5,POKEMON,AMAZON,25,11,2019,Royaume-Uni
This game is simply amazing and fun for everyone it’s a classic game already,5,POKEMON,AMAZON,16,11,2019,Royaume-Uni
I bought for my son’s Christmas present.  He loves it. Thanks!,5,POKEMON,AMAZON,8,1,2020,Royaume-Uni
My son loves this game and can not stop playing it,5,POKEMON,AMAZON,2,2,2020,Royaume-Uni
For my grandson he loves it,5,POKEMON,AMAZON,26,5,2020,Royaume-Uni
"It's not a very good game, I reccomend you do some research before you buy it.",3,POKEMON,AMAZON,1,2,2020,Royaume-Uni
Ok,5,POKEMON,AMAZON,4,9,2020,Royaume-Uni
This is a present for my partner.Haven't played the game yet.,5,POKEMON,AMAZON,1,12,2019,Royaume-Uni
My grandsons 14th birthday,5,POKEMON,AMAZON,8,2,2020,États-Unis
Even a grow man like me enjoys this game,5,POKEMON,AMAZON,10,2,2020,Royaume-Uni
Great game and arrived in plenty of time for Xmas,5,POKEMON,AMAZON,10,1,2020,Royaume-Uni
The case came damaged to the point is can't even be closed. Thankfully the game itself was not damaged.,3,POKEMON,AMAZON,16,11,2019,Royaume-Uni
The delivery was quicker than anticipated and the game works perfectly.,5,POKEMON,AMAZON,13,12,2019,Royaume-Uni
Fine,5,POKEMON,AMAZON,17,8,2020,Royaume-Uni
Great game! Can’t wait for the expansion,5,POKEMON,AMAZON,19,3,2020,Royaume-Uni
Arrived early little boys loves it,5,POKEMON,AMAZON,10,4,2020,Royaume-Uni
"The lad loves it, hours of play.",5,POKEMON,AMAZON,14,3,2020,Royaume-Uni
Same again Christmas gift,5,POKEMON,AMAZON,25,5,2020,Royaume-Uni
Ordered with another game for my daughter’s birthday - both boxes arrived empty (having ordered physical version) both sealed both empty now my daughter has a Nintendo switch and no games to play!,1,POKEMON,AMAZON,20,1,2022,Royaume-Uni
Son loves it,5,POKEMON,AMAZON,15,6,2020,Royaume-Uni
Good storie,5,POKEMON,AMAZON,9,3,2020,États-Unis
Great game. Takes me back to my childhood.,5,POKEMON,AMAZON,10,2,2020,Royaume-Uni
It made an excellent present.,5,POKEMON,AMAZON,24,4,2020,Royaume-Uni
"Brand new , excellent product. Arrived very quickly.",5,POKEMON,AMAZON,6,2,2020,Royaume-Uni
"Excellent service, very pleased!",5,POKEMON,AMAZON,5,1,2020,États-Unis
Amazing game! I love it!,5,POKEMON,AMAZON,18,4,2020,Royaume-Uni
"Great item, speedy delivery, great service",5,POKEMON,AMAZON,15,3,2020,Royaume-Uni
Grandson loved this product,5,POKEMON,AMAZON,26,12,2019,États-Unis
"Warehouse Copy, arrived fast and works perfectly!",5,POKEMON,AMAZON,17,2,2020,Royaume-Uni
A must for all Pokemon fans,5,POKEMON,AMAZON,12,3,2020,Royaume-Uni
My 9 year old loves it,5,POKEMON,AMAZON,8,3,2020,Royaume-Uni
Our grandson aged 8 hasn’t stopped playing it,5,POKEMON,AMAZON,17,1,2020,Royaume-Uni
Very good game as expected from The franchise.,5,POKEMON,AMAZON,12,1,2020,Royaume-Uni
A present for my son he loves it,5,POKEMON,AMAZON,11,1,2020,Royaume-Uni
Good game,5,POKEMON,AMAZON,9,2,2020,États-Unis
Very fun,5,POKEMON,AMAZON,8,2,2020,États-Unis
Good game,5,POKEMON,AMAZON,8,2,2020,États-Unis
Loves it,5,POKEMON,AMAZON,4,2,2020,États-Unis
Very happy soon.,5,POKEMON,AMAZON,8,5,2020,Royaume-Uni
"Well, my little brother loved it!",5,POKEMON,AMAZON,21,2,2020,Royaume-Uni
My son is really enjoying playing this game.,5,POKEMON,AMAZON,1,1,2020,Royaume-Uni
Already completed it and loved it.,5,POKEMON,AMAZON,16,2,2020,Royaume-Uni
Love it,5,POKEMON,AMAZON,27,5,2020,Royaume-Uni
Son loves his new Pokémon game!,5,POKEMON,AMAZON,16,2,2020,Royaume-Uni
"Nintendo switch game, my granddaughter loved this",5,POKEMON,AMAZON,20,1,2020,Royaume-Uni
My son loves this game,5,POKEMON,AMAZON,9,3,2020,Royaume-Uni
Excellent product..on time delivery,5,POKEMON,AMAZON,1,7,2020,Inde
Great Pokemon game. Big fan of the wild areas.,5,POKEMON,AMAZON,25,11,2019,Royaume-Uni
Received really quick my son will love it.,5,POKEMON,AMAZON,19,12,2019,Royaume-Uni
Brought as present,5,POKEMON,AMAZON,20,4,2020,Royaume-Uni
Amazing Game.,5,POKEMON,AMAZON,16,1,2020,États-Unis
Brilliant,5,POKEMON,AMAZON,3,6,2020,Royaume-Uni
"Fast delivery, excellent game, cannot complain!",5,POKEMON,AMAZON,30,1,2020,Royaume-Uni
Bought for grandsons they are thoroughly enjoying it,5,POKEMON,AMAZON,10,12,2019,Royaume-Uni
Very popular and endless fun.,5,POKEMON,AMAZON,20,2,2020,Royaume-Uni
Came on time. Son is delighted. Thanks,5,POKEMON,AMAZON,1,1,2020,Royaume-Uni
7 year old lives it,5,POKEMON,AMAZON,19,2,2020,Royaume-Uni
Really good,5,POKEMON,AMAZON,3,5,2020,Royaume-Uni
Thanks,5,POKEMON,AMAZON,26,5,2020,Royaume-Uni
Great deal as usual From amazon,5,POKEMON,AMAZON,17,1,2020,Royaume-Uni
Like.,5,POKEMON,AMAZON,15,11,2019,Royaume-Uni
Bought for grand daughter loves it.,5,POKEMON,AMAZON,16,1,2020,Royaume-Uni
May not be the best it could’ve been but still seems like a fun game.,5,POKEMON,AMAZON,24,1,2020,Inde
Son loves the game,5,POKEMON,AMAZON,3,3,2020,Royaume-Uni
"Bought this for my grandson for Christmas, he was so disappointed it was in Chinese, spoilt his Christmas",1,POKEMON,AMAZON,21,2,2022,Royaume-Uni
Kept little one quiet aged 9,5,POKEMON,AMAZON,9,1,2020,Royaume-Uni
grandson over the moon with game .,5,POKEMON,AMAZON,15,12,2019,Royaume-Uni
Fun and Amazing Game.,5,POKEMON,AMAZON,27,2,2020,Royaume-Uni
I like snoms,5,POKEMON,AMAZON,19,3,2020,Royaume-Uni
My son loved this game.,5,POKEMON,AMAZON,28,1,2020,Royaume-Uni
Son loves it !,5,POKEMON,AMAZON,15,2,2020,Royaume-Uni
"Amazing , the best pokemon game ever!",5,POKEMON,AMAZON,1,12,2019,Royaume-Uni
"Long awaited, very good",5,POKEMON,AMAZON,13,2,2020,Royaume-Uni
Bought as a gift.,5,POKEMON,AMAZON,12,2,2020,Royaume-Uni
"Nice game,must game.",5,POKEMON,AMAZON,12,6,2020,Inde
Family play all the time,5,POKEMON,AMAZON,17,1,2020,Royaume-Uni
Bought for my daughter who loves it,5,POKEMON,AMAZON,19,11,2019,Royaume-Uni
"Great game, fast delivery",5,POKEMON,AMAZON,9,2,2020,Royaume-Uni
Exactly what I wanted,5,POKEMON,AMAZON,7,2,2020,Royaume-Uni
"Quick delivery, great price",5,POKEMON,AMAZON,7,2,2020,Royaume-Uni
Great price and fast delivery,5,POKEMON,AMAZON,12,1,2020,Royaume-Uni
great game new as stated thanks,5,POKEMON,AMAZON,15,12,2019,Royaume-Uni
Fantastic game and visually beautiful,5,POKEMON,AMAZON,4,1,2020,Royaume-Uni
Excellent game. So wholesome! Love it!,5,POKEMON,AMAZON,8,12,2019,Royaume-Uni
As decsribed!,5,POKEMON,AMAZON,16,3,2020,Royaume-Uni
No box?,3,POKEMON,AMAZON,6,3,2020,Royaume-Uni
Great gift for Pokemon lovers,5,POKEMON,AMAZON,31,12,2019,Royaume-Uni
Good game and fast dilivery!,5,POKEMON,AMAZON,30,12,2019,Royaume-Uni
Good. Son very happy!,5,POKEMON,AMAZON,21,1,2020,Royaume-Uni
As expected. my son loves it,5,POKEMON,AMAZON,30,11,2019,Royaume-Uni
Another great game,5,POKEMON,AMAZON,11,2,2020,Royaume-Uni
"I enjoyed it, it was challenging",5,POKEMON,AMAZON,18,11,2019,Royaume-Uni
A little to easy now,3,POKEMON,AMAZON,2,1,2020,Royaume-Uni
Great game,5,POKEMON,AMAZON,1,3,2020,Royaume-Uni
Nephew loves this and hes 24yr,5,POKEMON,AMAZON,22,11,2019,Royaume-Uni
Hours of fun,5,POKEMON,AMAZON,3,2,2020,Royaume-Uni
My son love it,5,POKEMON,AMAZON,8,1,2020,Royaume-Uni
Fast and good price !,5,POKEMON,AMAZON,14,12,2019,Royaume-Uni
Great game happy son,5,POKEMON,AMAZON,5,1,2020,Royaume-Uni
Perfect no complaints,5,POKEMON,AMAZON,30,1,2020,Royaume-Uni
Very nice!,5,POKEMON,AMAZON,23,2,2020,Royaume-Uni
Good game,5,POKEMON,AMAZON,23,2,2020,Royaume-Uni
leon and raihan. theyre gay,5,POKEMON,AMAZON,10,12,2019,Royaume-Uni
Excellent game,5,POKEMON,AMAZON,22,2,2020,Royaume-Uni
Poorest Pokémon release to date,3,POKEMON,AMAZON,17,12,2019,Royaume-Uni
Good game,5,POKEMON,AMAZON,17,2,2020,Royaume-Uni
My grandson loves it,5,POKEMON,AMAZON,26,12,2019,Royaume-Uni
Amazing game,5,POKEMON,AMAZON,13,2,2020,Royaume-Uni
Kids loved it,5,POKEMON,AMAZON,16,1,2020,Royaume-Uni
Good game,5,POKEMON,AMAZON,8,2,2020,Royaume-Uni
Son loves it,5,POKEMON,AMAZON,9,1,2020,Royaume-Uni
My son loves this game!,5,POKEMON,AMAZON,16,11,2019,Royaume-Uni
Excellent,5,POKEMON,AMAZON,18,2,2020,Royaume-Uni
It’s a great game except there isn’t much replay value,3,POKEMON,AMAZON,26,2,2020,États-Unis
Great service.,5,POKEMON,AMAZON,17,1,2020,Royaume-Uni
game condition is great,5,POKEMON,AMAZON,25,11,2019,Royaume-Uni
Great game,5,POKEMON,AMAZON,12,1,2020,Royaume-Uni
Delivered on time,5,POKEMON,AMAZON,9,12,2019,Royaume-Uni
Fantastic game.,5,POKEMON,AMAZON,1,1,2020,Royaume-Uni
My grandsons favourite,5,POKEMON,AMAZON,21,11,2019,Royaume-Uni
In love,5,POKEMON,AMAZON,31,12,2019,Royaume-Uni
Great product.,5,POKEMON,AMAZON,28,12,2019,Royaume-Uni
Kids happy.,5,POKEMON,AMAZON,25,12,2019,Royaume-Uni
Aw yeeeees,5,POKEMON,AMAZON,12,12,2019,Royaume-Uni
Excelente juego,5,POKEMON,AMAZON,26,12,2020,Mexique
AmaZing,5,POKEMON,AMAZON,3,1,2020,Royaume-Uni
☆☆☆☆☆,5,POKEMON,AMAZON,29,12,2019,Royaume-Uni
Great game,5,POKEMON,AMAZON,2,12,2019,Royaume-Uni
"Ik twijfelde een beetje aan de echtheid van dit product vanwege de beschrijving, maar hij doet het gewoon op een Europese Switch.",4,POKEMON,AMAZON,30,11,2020,Pays-Bas
Fabulous,5,POKEMON,AMAZON,21,12,2019,Royaume-Uni
Great,5,POKEMON,AMAZON,20,12,2019,Royaume-Uni
Excellent,5,POKEMON,AMAZON,10,12,2019,Royaume-Uni
Brilliant,5,POKEMON,AMAZON,10,12,2019,Royaume-Uni
Excellent,5,POKEMON,AMAZON,8,12,2019,Royaume-Uni
"Absolutely not worth £50. While still fun (it’s Pokemon), this is a ported DS game, that somehow also manages to have less content and extremely dislikable main characters. The difficulty ramp is non-existent and you will steam roll everything along each linear, underdeveloped path and town until you get bombarded with more infuriating cutscenes.",2,POKEMON,AMAZON,5,12,2019,Royaume-Uni
"Rapidez na entrega,me surpreendeu!",5,POKEMON,AMAZON,24,6,2020,Brésil
Excellent,5,POKEMON,AMAZON,20,11,2019,Royaume-Uni
Just literally got it and opened it and the game card is not even there WTF!,1,POKEMON,AMAZON,16,10,2021,Royaume-Uni
O jogo eh bom e foi entregue mt rapido,5,POKEMON,AMAZON,26,12,2019,Brésil
Son and myself got bored with it after a few days. Not really worth the money you oay for the game. Graphics not good and story line very simple.,2,POKEMON,AMAZON,5,4,2020,Royaume-Uni
